Id,Title,Acceptance,Difficulty,Frequency,Link
45,Jump Game II,30.7%,Hard,63.2625,https://leetcode.com/problems/jump-game-ii
46,Permutations,64.0%,Medium,70.8299,https://leetcode.com/problems/permutations
47,Permutations II,46.8%,Medium,24.9072,https://leetcode.com/problems/permutations-ii
48,Rotate Image,57.3%,Medium,60.9585,https://leetcode.com/problems/rotate-image
49,Group Anagrams,57.3%,Medium,70.0943,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)",30.5%,Medium,51.5022,https://leetcode.com/problems/powx-n
51,N-Queens,47.1%,Hard,51.3663,https://leetcode.com/problems/n-queens
52,N-Queens II,58.2%,Hard,1.9409,https://leetcode.com/problems/n-queens-ii
53,Maximum Subarray,46.7%,Easy,93.8573,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,34.3%,Medium,73.5962,https://leetcode.com/problems/spiral-matrix
55,Jump Game,34.7%,Medium,51.9882,https://leetcode.com/problems/jump-game
56,Merge Intervals,39.5%,Medium,86.3523,https://leetcode.com/problems/merge-intervals
57,Insert Interval,33.7%,Hard,42.8507,https://leetcode.com/problems/insert-interval
58,Length of Last Word,32.6%,Easy,19.3699,https://leetcode.com/problems/length-of-last-word
59,Spiral Matrix II,54.3%,Medium,36.5097,https://leetcode.com/problems/spiral-matrix-ii
60,Permutation Sequence,38.6%,Hard,20.221,https://leetcode.com/problems/permutation-sequence
61,Rotate List,30.2%,Medium,38.0779,https://leetcode.com/problems/rotate-list
62,Unique Paths,54.4%,Medium,42.2528,https://leetcode.com/problems/unique-paths
63,Unique Paths II,34.7%,Medium,25.703,https://leetcode.com/problems/unique-paths-ii
64,Minimum Path Sum,54.8%,Medium,59.3943,https://leetcode.com/problems/minimum-path-sum
65,Valid Number,15.4%,Hard,44.3276,https://leetcode.com/problems/valid-number
66,Plus One,43.0%,Easy,37.3739,https://leetcode.com/problems/plus-one
67,Add Binary,45.5%,Easy,61.0142,https://leetcode.com/problems/add-binary
68,Text Justification,28.0%,Hard,74.9735,https://leetcode.com/problems/text-justification
69,Sqrt(x),34.1%,Easy,36.5119,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,47.9%,Easy,57.54,https://leetcode.com/problems/climbing-stairs
71,Simplify Path,32.8%,Medium,50.1995,https://leetcode.com/problems/simplify-path
72,Edit Distance,45.1%,Hard,54.9601,https://leetcode.com/problems/edit-distance
73,Set Matrix Zeroes,43.3%,Medium,42.2225,https://leetcode.com/problems/set-matrix-zeroes
74,Search a 2D Matrix,36.6%,Medium,39.3114,https://leetcode.com/problems/search-a-2d-matrix
75,Sort Colors,47.6%,Medium,54.1834,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,34.9%,Hard,74.7578,https://leetcode.com/problems/minimum-window-substring
77,Combinations,55.1%,Medium,21.5724,https://leetcode.com/problems/combinations
78,Subsets,62.5%,Medium,54.6467,https://leetcode.com/problems/subsets
79,Word Search,35.8%,Medium,68.3933,https://leetcode.com/problems/word-search
80,Remove Duplicates from Sorted Array II,44.2%,Medium,8.41583,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii
81,Search in Rotated Sorted Array II,33.0%,Medium,23.3603,https://leetcode.com/problems/search-in-rotated-sorted-array-ii
82,Remove Duplicates from Sorted List II,37.1%,Medium,30.6623,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
83,Remove Duplicates from Sorted List,45.6%,Easy,45.1367,https://leetcode.com/problems/remove-duplicates-from-sorted-list
84,Largest Rectangle in Histogram,35.5%,Hard,53.8643,https://leetcode.com/problems/largest-rectangle-in-histogram
85,Maximal Rectangle,38.0%,Hard,75.9636,https://leetcode.com/problems/maximal-rectangle
86,Partition List,41.9%,Medium,40.5366,https://leetcode.com/problems/partition-list
87,Scramble String,33.9%,Hard,41.26,https://leetcode.com/problems/scramble-string
88,Merge Sorted Array,39.6%,Easy,71.7272,https://leetcode.com/problems/merge-sorted-array
89,Gray Code,49.3%,Medium,7.59544,https://leetcode.com/problems/gray-code
90,Subsets II,47.4%,Medium,20.5956,https://leetcode.com/problems/subsets-ii
91,Decode Ways,24.9%,Medium,84.4416,https://leetcode.com/problems/decode-ways
92,Reverse Linked List II,39.1%,Medium,62.1855,https://leetcode.com/problems/reverse-linked-list-ii
93,Restore IP Addresses,36.0%,Medium,50.7318,https://leetcode.com/problems/restore-ip-addresses
94,Binary Tree Inorder Traversal,63.8%,Medium,37.0932,https://leetcode.com/problems/binary-tree-inorder-traversal
95,Unique Binary Search Trees II,41.0%,Medium,24.5588,https://leetcode.com/problems/unique-binary-search-trees-ii
96,Unique Binary Search Trees,53.2%,Medium,52.9749,https://leetcode.com/problems/unique-binary-search-trees
97,Interleaving String,31.7%,Hard,52.2395,https://leetcode.com/problems/interleaving-string
98,Validate Binary Search Tree,27.9%,Medium,55.1922,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,40.0%,Hard,41.5881,https://leetcode.com/problems/recover-binary-search-tree
100,Same Tree,53.5%,Easy,14.4298,https://leetcode.com/problems/same-tree
101,Symmetric Tree,47.1%,Easy,42.8144,https://leetcode.com/problems/symmetric-tree
102,Binary Tree Level Order Traversal,54.9%,Medium,45.9582,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,48.6%,Medium,54.8992,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
104,Maximum Depth of Binary Tree,66.3%,Easy,40.1667,https://leetcode.com/problems/maximum-depth-of-binary-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,49.3%,Medium,59.2768,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
106,Construct Binary Tree from Inorder and Postorder Traversal,47.6%,Medium,29.7089,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
107,Binary Tree Level Order Traversal II,53.8%,Easy,30.6586,https://leetcode.com/problems/binary-tree-level-order-traversal-ii
108,Convert Sorted Array to Binary Search Tree,58.4%,Easy,41.7079,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
109,Convert Sorted List to Binary Search Tree,48.1%,Medium,42.0499,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
110,Balanced Binary Tree,43.7%,Easy,19.2603,https://leetcode.com/problems/balanced-binary-tree
111,Minimum Depth of Binary Tree,37.5%,Easy,16.3258,https://leetcode.com/problems/minimum-depth-of-binary-tree
112,Path Sum,41.4%,Easy,26.2145,https://leetcode.com/problems/path-sum
113,Path Sum II,47.1%,Medium,25.7898,https://leetcode.com/problems/path-sum-ii
114,Flatten Binary Tree to Linked List,49.7%,Medium,38.7049,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
115,Distinct Subsequences,38.5%,Hard,37.7004,https://leetcode.com/problems/distinct-subsequences
116,Populating Next Right Pointers in Each Node,45.7%,Medium,32.7674,https://leetcode.com/problems/populating-next-right-pointers-in-each-node
117,Populating Next Right Pointers in Each Node II,39.5%,Medium,37.2341,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
118,Pascal's Triangle,52.9%,Easy,35.5405,https://leetcode.com/problems/pascals-triangle
119,Pascal's Triangle II,50.9%,Easy,15.8605,https://leetcode.com/problems/pascals-triangle-ii
120,Triangle,44.4%,Medium,43.3206,https://leetcode.com/problems/triangle
121,Best Time to Buy and Sell Stock,50.6%,Easy,84.3863,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,57.2%,Easy,47.1418,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
123,Best Time to Buy and Sell Stock III,38.6%,Hard,39.0021,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
124,Binary Tree Maximum Path Sum,34.5%,Hard,66.001,https://leetcode.com/problems/binary-tree-maximum-path-sum
125,Valid Palindrome,36.9%,Easy,52.5565,https://leetcode.com/problems/valid-palindrome
126,Word Ladder II,22.4%,Hard,53.4795,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,29.9%,Medium,67.637,https://leetcode.com/problems/word-ladder
128,Longest Consecutive Sequence,45.3%,Hard,70.2524,https://leetcode.com/problems/longest-consecutive-sequence
129,Sum Root to Leaf Numbers,49.4%,Medium,27.3662,https://leetcode.com/problems/sum-root-to-leaf-numbers
130,Surrounded Regions,28.3%,Medium,35.3109,https://leetcode.com/problems/surrounded-regions
131,Palindrome Partitioning,48.0%,Medium,58.4376,https://leetcode.com/problems/palindrome-partitioning
132,Palindrome Partitioning II,30.4%,Hard,42.7012,https://leetcode.com/problems/palindrome-partitioning-ii
133,Clone Graph,35.4%,Medium,48.2669,https://leetcode.com/problems/clone-graph
134,Gas Station,38.8%,Medium,50.0391,https://leetcode.com/problems/gas-station
135,Candy,31.8%,Hard,22.7774,https://leetcode.com/problems/candy
136,Single Number,65.7%,Easy,59.5577,https://leetcode.com/problems/single-number
137,Single Number II,52.6%,Medium,48.9365,https://leetcode.com/problems/single-number-ii
138,Copy List with Random Pointer,37.0%,Medium,67.3527,https://leetcode.com/problems/copy-list-with-random-pointer
139,Word Break,40.3%,Medium,78.8645,https://leetcode.com/problems/word-break
140,Word Break II,32.9%,Hard,69.5613,https://leetcode.com/problems/word-break-ii
141,Linked List Cycle,41.4%,Easy,37.5698,https://leetcode.com/problems/linked-list-cycle
142,Linked List Cycle II,37.6%,Medium,24.0474,https://leetcode.com/problems/linked-list-cycle-ii
143,Reorder List,39.0%,Medium,28.8192,https://leetcode.com/problems/reorder-list
144,Binary Tree Preorder Traversal,56.0%,Medium,15.1481,https://leetcode.com/problems/binary-tree-preorder-traversal
145,Binary Tree Postorder Traversal,55.4%,Medium,20.5819,https://leetcode.com/problems/binary-tree-postorder-traversal
146,LRU Cache,33.5%,Medium,95.725,https://leetcode.com/problems/lru-cache
147,Insertion Sort List,41.3%,Medium,2.62184,https://leetcode.com/problems/insertion-sort-list
148,Sort List,42.9%,Medium,63.2635,https://leetcode.com/problems/sort-list
149,Max Points on a Line,17.0%,Hard,46.4887,https://leetcode.com/problems/max-points-on-a-line
150,Evaluate Reverse Polish Notation,36.6%,Medium,47.9296,https://leetcode.com/problems/evaluate-reverse-polish-notation
151,Reverse Words in a String,22.1%,Medium,43.423,https://leetcode.com/problems/reverse-words-in-a-string
152,Maximum Product Subarray,31.8%,Medium,58.7899,https://leetcode.com/problems/maximum-product-subarray
153,Find Minimum in Rotated Sorted Array,45.2%,Medium,42.7642,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
154,Find Minimum in Rotated Sorted Array II,41.6%,Hard,9.30899,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii
155,Min Stack,44.8%,Easy,56.1068,https://leetcode.com/problems/min-stack
156,Binary Tree Upside Down,55.2%,Medium,9.61142,https://leetcode.com/problems/binary-tree-upside-down
157,Read N Characters Given Read4,35.3%,Easy,10.8582,https://leetcode.com/problems/read-n-characters-given-read4
158,Read N Characters Given Read4 II - Call multiple times,34.2%,Hard,58.4228,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
159,Longest Substring with At Most Two Distinct Characters,49.5%,Medium,19.8884,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters
160,Intersection of Two Linked Lists,41.1%,Easy,38.6889,https://leetcode.com/problems/intersection-of-two-linked-lists
161,One Edit Distance,32.3%,Medium,24.1733,https://leetcode.com/problems/one-edit-distance
162,Find Peak Element,43.4%,Medium,41.2555,https://leetcode.com/problems/find-peak-element
163,Missing Ranges,24.3%,Medium,17.4668,https://leetcode.com/problems/missing-ranges
164,Maximum Gap,35.6%,Hard,14.3958,https://leetcode.com/problems/maximum-gap
165,Compare Version Numbers,27.6%,Medium,28.509,https://leetcode.com/problems/compare-version-numbers
166,Fraction to Recurring Decimal,21.7%,Medium,52.0716,https://leetcode.com/problems/fraction-to-recurring-decimal
167,Two Sum II - Input array is sorted,54.3%,Easy,45.6244,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
168,Excel Sheet Column Title,31.2%,Easy,27.8771,https://leetcode.com/problems/excel-sheet-column-title
169,Majority Element,58.9%,Easy,45.8395,https://leetcode.com/problems/majority-element
170,Two Sum III - Data structure design,33.7%,Easy,1.24802,https://leetcode.com/problems/two-sum-iii-data-structure-design
171,Excel Sheet Column Number,56.2%,Easy,9.78649,https://leetcode.com/problems/excel-sheet-column-number
172,Factorial Trailing Zeroes,37.8%,Easy,17.8731,https://leetcode.com/problems/factorial-trailing-zeroes
173,Binary Search Tree Iterator,57.1%,Medium,58.7756,https://leetcode.com/problems/binary-search-tree-iterator
174,Dungeon Game,32.5%,Hard,22.5803,https://leetcode.com/problems/dungeon-game
175,Combine Two Tables,61.3%,Easy,52.8311,https://leetcode.com/problems/combine-two-tables
176,Second Highest Salary,31.9%,Easy,64.6283,https://leetcode.com/problems/second-highest-salary
177,Nth Highest Salary,31.6%,Medium,51.0239,https://leetcode.com/problems/nth-highest-salary
178,Rank Scores,46.5%,Medium,37.5931,https://leetcode.com/problems/rank-scores
179,Largest Number,29.0%,Medium,59.3371,https://leetcode.com/problems/largest-number
180,Consecutive Numbers,40.1%,Medium,12.0319,https://leetcode.com/problems/consecutive-numbers
181,Employees Earning More Than Their Managers,57.4%,Easy,28.076,https://leetcode.com/problems/employees-earning-more-than-their-managers
182,Duplicate Emails,62.4%,Easy,9.56914,https://leetcode.com/problems/duplicate-emails
183,Customers Who Never Order,54.0%,Easy,10.2546,https://leetcode.com/problems/customers-who-never-order
184,Department Highest Salary,37.2%,Medium,9.14863,https://leetcode.com/problems/department-highest-salary
185,Department Top Three Salaries,35.2%,Hard,32.0789,https://leetcode.com/problems/department-top-three-salaries
186,Reverse Words in a String II,43.7%,Medium,16.1733,https://leetcode.com/problems/reverse-words-in-a-string-ii
187,Repeated DNA Sequences,39.0%,Medium,33.1682,https://leetcode.com/problems/repeated-dna-sequences
188,Best Time to Buy and Sell Stock IV,28.1%,Hard,38.5121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
189,Rotate Array,35.0%,Easy,39.0121,https://leetcode.com/problems/rotate-array
190,Reverse Bits,40.2%,Easy,13.2132,https://leetcode.com/problems/reverse-bits
191,Number of 1 Bits,50.3%,Easy,21.458,https://leetcode.com/problems/number-of-1-bits
192,Word Frequency,25.8%,Medium,42.9988,https://leetcode.com/problems/word-frequency
193,Valid Phone Numbers,25.2%,Easy,28.0888,https://leetcode.com/problems/valid-phone-numbers
194,Transpose File,24.2%,Medium,4.39268,https://leetcode.com/problems/transpose-file
195,Tenth Line,33.0%,Easy,14.4692,https://leetcode.com/problems/tenth-line
196,Delete Duplicate Emails,41.7%,Easy,12.4062,https://leetcode.com/problems/delete-duplicate-emails
197,Rising Temperature,38.7%,Easy,9.75735,https://leetcode.com/problems/rising-temperature
198,House Robber,42.1%,Easy,50.2776,https://leetcode.com/problems/house-robber
199,Binary Tree Right Side View,54.4%,Medium,71.8239,https://leetcode.com/problems/binary-tree-right-side-view
200,Number of Islands,47.1%,Medium,98.9313,https://leetcode.com/problems/number-of-islands
201,Bitwise AND of Numbers Range,39.4%,Medium,41.2342,https://leetcode.com/problems/bitwise-and-of-numbers-range
202,Happy Number,50.6%,Easy,58.5338,https://leetcode.com/problems/happy-number
203,Remove Linked List Elements,38.8%,Easy,54.5836,https://leetcode.com/problems/remove-linked-list-elements
204,Count Primes,31.6%,Easy,51.04,https://leetcode.com/problems/count-primes
205,Isomorphic Strings,39.9%,Easy,38.3438,https://leetcode.com/problems/isomorphic-strings
206,Reverse Linked List,63.0%,Easy,79.9546,https://leetcode.com/problems/reverse-linked-list
207,Course Schedule,43.3%,Medium,50.1073,https://leetcode.com/problems/course-schedule
208,Implement Trie (Prefix Tree),49.9%,Medium,41.0793,https://leetcode.com/problems/implement-trie-prefix-tree
209,Minimum Size Subarray Sum,38.4%,Medium,54.4868,https://leetcode.com/problems/minimum-size-subarray-sum
210,Course Schedule II,41.0%,Medium,55.8497,https://leetcode.com/problems/course-schedule-ii
211,Design Add and Search Words Data Structure,38.3%,Medium,57.7497,https://leetcode.com/problems/design-add-and-search-words-data-structure
212,Word Search II,35.1%,Hard,59.1441,https://leetcode.com/problems/word-search-ii
213,House Robber II,36.5%,Medium,23.055,https://leetcode.com/problems/house-robber-ii
214,Shortest Palindrome,29.9%,Hard,38.0664,https://leetcode.com/problems/shortest-palindrome
215,Kth Largest Element in an Array,55.8%,Medium,72.0584,https://leetcode.com/problems/kth-largest-element-in-an-array
216,Combination Sum III,56.9%,Medium,12.0657,https://leetcode.com/problems/combination-sum-iii
217,Contains Duplicate,56.2%,Easy,14.5769,https://leetcode.com/problems/contains-duplicate
218,The Skyline Problem,34.7%,Hard,55.1085,https://leetcode.com/problems/the-skyline-problem
219,Contains Duplicate II,37.9%,Easy,18.1172,https://leetcode.com/problems/contains-duplicate-ii
220,Contains Duplicate III,21.4%,Medium,2.55226,https://leetcode.com/problems/contains-duplicate-iii
221,Maximal Square,37.8%,Medium,71.8696,https://leetcode.com/problems/maximal-square
222,Count Complete Tree Nodes,47.2%,Medium,27.3665,https://leetcode.com/problems/count-complete-tree-nodes
223,Rectangle Area,37.9%,Medium,13.3807,https://leetcode.com/problems/rectangle-area
224,Basic Calculator,37.1%,Hard,61.4785,https://leetcode.com/problems/basic-calculator
225,Implement Stack using Queues,45.7%,Easy,12.4571,https://leetcode.com/problems/implement-stack-using-queues
226,Invert Binary Tree,65.3%,Easy,42.6537,https://leetcode.com/problems/invert-binary-tree
227,Basic Calculator II,37.1%,Medium,64.9438,https://leetcode.com/problems/basic-calculator-ii
228,Summary Ranges,39.7%,Medium,30.2253,https://leetcode.com/problems/summary-ranges
229,Majority Element II,35.8%,Medium,26.9329,https://leetcode.com/problems/majority-element-ii
230,Kth Smallest Element in a BST,60.6%,Medium,25.3436,https://leetcode.com/problems/kth-smallest-element-in-a-bst
231,Power of Two,43.7%,Easy,17.5151,https://leetcode.com/problems/power-of-two
232,Implement Queue using Stacks,50.1%,Easy,34.5484,https://leetcode.com/problems/implement-queue-using-stacks
233,Number of Digit One,31.4%,Hard,37.6393,https://leetcode.com/problems/number-of-digit-one
234,Palindrome Linked List,39.5%,Easy,62.8722,https://leetcode.com/problems/palindrome-linked-list
235,Lowest Common Ancestor of a Binary Search Tree,50.2%,Easy,16.1965,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
236,Lowest Common Ancestor of a Binary Tree,46.2%,Medium,57.2056,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
237,Delete Node in a Linked List,64.4%,Easy,17.1311,https://leetcode.com/problems/delete-node-in-a-linked-list
238,Product of Array Except Self,60.3%,Medium,86.5206,https://leetcode.com/problems/product-of-array-except-self
239,Sliding Window Maximum,43.4%,Hard,66.7303,https://leetcode.com/problems/sliding-window-maximum
240,Search a 2D Matrix II,43.3%,Medium,56.2923,https://leetcode.com/problems/search-a-2d-matrix-ii
241,Different Ways to Add Parentheses,55.5%,Medium,20.9992,https://leetcode.com/problems/different-ways-to-add-parentheses
242,Valid Anagram,57.1%,Easy,46.563,https://leetcode.com/problems/valid-anagram
243,Shortest Word Distance,61.1%,Easy,30.2528,https://leetcode.com/problems/shortest-word-distance
244,Shortest Word Distance II,52.5%,Medium,12.1008,https://leetcode.com/problems/shortest-word-distance-ii
245,Shortest Word Distance III,55.4%,Medium,0.0,https://leetcode.com/problems/shortest-word-distance-iii
246,Strobogrammatic Number,45.1%,Easy,19.1937,https://leetcode.com/problems/strobogrammatic-number
247,Strobogrammatic Number II,47.8%,Medium,22.8442,https://leetcode.com/problems/strobogrammatic-number-ii
248,Strobogrammatic Number III,39.7%,Hard,5.12261,https://leetcode.com/problems/strobogrammatic-number-iii
249,Group Shifted Strings,55.7%,Medium,40.3962,https://leetcode.com/problems/group-shifted-strings
250,Count Univalue Subtrees,52.2%,Medium,23.0136,https://leetcode.com/problems/count-univalue-subtrees
251,Flatten 2D Vector,45.8%,Medium,12.1118,https://leetcode.com/problems/flatten-2d-vector
252,Meeting Rooms,54.7%,Easy,22.2508,https://leetcode.com/problems/meeting-rooms
253,Meeting Rooms II,45.8%,Medium,70.452,https://leetcode.com/problems/meeting-rooms-ii
254,Factor Combinations,46.8%,Medium,2.08634,https://leetcode.com/problems/factor-combinations
255,Verify Preorder Sequence in Binary Search Tree,45.7%,Medium,9.54219,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree
256,Paint House,52.2%,Easy,28.971,https://leetcode.com/problems/paint-house
257,Binary Tree Paths,51.8%,Easy,28.8267,https://leetcode.com/problems/binary-tree-paths
258,Add Digits,57.8%,Easy,18.1873,https://leetcode.com/problems/add-digits
259,3Sum Smaller,47.8%,Medium,14.2999,https://leetcode.com/problems/3sum-smaller
260,Single Number III,64.5%,Medium,30.983,https://leetcode.com/problems/single-number-iii
261,Graph Valid Tree,42.3%,Medium,9.51317,https://leetcode.com/problems/graph-valid-tree
262,Trips and Users,33.2%,Hard,31.2531,https://leetcode.com/problems/trips-and-users
263,Ugly Number,41.6%,Easy,6.45551,https://leetcode.com/problems/ugly-number
264,Ugly Number II,42.2%,Medium,27.6948,https://leetcode.com/problems/ugly-number-ii
265,Paint House II,44.8%,Hard,0.0,https://leetcode.com/problems/paint-house-ii
266,Palindrome Permutation,62.0%,Easy,14.149,https://leetcode.com/problems/palindrome-permutation
267,Palindrome Permutation II,36.5%,Medium,13.3643,https://leetcode.com/problems/palindrome-permutation-ii
268,Missing Number,51.9%,Easy,47.0576,https://leetcode.com/problems/missing-number
269,Alien Dictionary,33.3%,Hard,77.0957,https://leetcode.com/problems/alien-dictionary
270,Closest Binary Search Tree Value,48.7%,Easy,17.1016,https://leetcode.com/problems/closest-binary-search-tree-value
271,Encode and Decode Strings,31.7%,Medium,18.4353,https://leetcode.com/problems/encode-and-decode-strings
272,Closest Binary Search Tree Value II,50.7%,Hard,8.02518,https://leetcode.com/problems/closest-binary-search-tree-value-ii
273,Integer to English Words,27.2%,Hard,86.9516,https://leetcode.com/problems/integer-to-english-words
274,H-Index,36.3%,Medium,4.61982,https://leetcode.com/problems/h-index
275,H-Index II,36.1%,Medium,0.0,https://leetcode.com/problems/h-index-ii
276,Paint Fence,38.4%,Easy,6.9748,https://leetcode.com/problems/paint-fence
277,Find the Celebrity,42.1%,Medium,39.6976,https://leetcode.com/problems/find-the-celebrity
278,First Bad Version,36.0%,Easy,44.837,https://leetcode.com/problems/first-bad-version
279,Perfect Squares,47.6%,Medium,49.6274,https://leetcode.com/problems/perfect-squares
280,Wiggle Sort,63.9%,Medium,21.5299,https://leetcode.com/problems/wiggle-sort
281,Zigzag Iterator,58.6%,Medium,18.3656,https://leetcode.com/problems/zigzag-iterator
282,Expression Add Operators,35.7%,Hard,42.6284,https://leetcode.com/problems/expression-add-operators
283,Move Zeroes,58.0%,Easy,61.1267,https://leetcode.com/problems/move-zeroes
284,Peeking Iterator,46.1%,Medium,34.5957,https://leetcode.com/problems/peeking-iterator
285,Inorder Successor in BST,40.8%,Medium,26.0681,https://leetcode.com/problems/inorder-successor-in-bst
286,Walls and Gates,54.9%,Medium,39.7852,https://leetcode.com/problems/walls-and-gates
287,Find the Duplicate Number,55.9%,Medium,56.1912,https://leetcode.com/problems/find-the-duplicate-number
288,Unique Word Abbreviation,22.0%,Medium,2.03549,https://leetcode.com/problems/unique-word-abbreviation
289,Game of Life,54.9%,Medium,57.5755,https://leetcode.com/problems/game-of-life
290,Word Pattern,37.1%,Easy,19.0258,https://leetcode.com/problems/word-pattern
