ChapterSerial,Chapter,ProblemSerial,Problem,Id,Acceptance,Difficulty,Frequency,Link
6,Dynamic Programming,1,Longest Palindromic Substring,5,29.6%,Medium,93.7021,https://leetcode.com/problems/longest-palindromic-substring
6,Dynamic Programming,2,Longest Valid Parentheses,32,28.5%,Hard,56.5733,https://leetcode.com/problems/longest-valid-parentheses
6,Dynamic Programming,3,Decode Ways,91,24.9%,Medium,84.4416,https://leetcode.com/problems/decode-ways
6,Dynamic Programming,4,Best Time to Buy and Sell Stock,121,50.6%,Easy,84.3863,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
6,Dynamic Programming,5,Word Break,139,40.3%,Medium,78.8645,https://leetcode.com/problems/word-break
6,Dynamic Programming,6,Range Sum Query 2D - Immutable,304,38.9%,Medium,40.2972,https://leetcode.com/problems/range-sum-query-2d-immutable
6,Dynamic Programming,7,Continuous Subarray Sum,523,24.6%,Medium,50.1067,https://leetcode.com/problems/continuous-subarray-sum
7,Design,1,LRU Cache,146,33.5%,Medium,95.725,https://leetcode.com/problems/lru-cache
7,Design,2,Binary Search Tree Iterator,173,57.1%,Medium,58.7756,https://leetcode.com/problems/binary-search-tree-iterator
7,Design,3,Add and Search Word - Data structure design,,,,,
7,Design,4,Serialize and Deserialize Binary Tree,297,47.8%,Hard,72.4062,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
8,Others,1,Expression Add Operators,282,35.7%,Hard,42.6284,https://leetcode.com/problems/expression-add-operators
8,Others,2,Find All Anagrams in a String,438,43.6%,Medium,55.5798,https://leetcode.com/problems/find-all-anagrams-in-a-string
8,Others,3,Permutation in String,567,44.4%,Medium,34.8665,https://leetcode.com/problems/permutation-in-string
8,Others,4,Verifying an Alien Dictionary,953,53.9%,Easy,85.2836,https://leetcode.com/problems/verifying-an-alien-dictionary
8,Others,5,Interval List Intersections,986,67.5%,Medium,59.1434,https://leetcode.com/problems/interval-list-intersections
9,SQL,1,Second Highest Salary,176,31.9%,Easy,64.6283,https://leetcode.com/problems/second-highest-salary
9,SQL,2,Nth Highest Salary,177,31.6%,Medium,51.0239,https://leetcode.com/problems/nth-highest-salary
9,SQL,3,Customers Who Never Order,183,54.0%,Easy,10.2546,https://leetcode.com/problems/customers-who-never-order
9,SQL,4,Friend Requests I: Overall Acceptance Rate,597,41.1%,Easy,2.43908,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate
9,SQL,5,Friend Requests II: Who Has the Most Friends,602,54.1%,Medium,3.02914,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends
9,SQL,6,Department Top Three Salaries,185,35.2%,Hard,32.0789,https://leetcode.com/problems/department-top-three-salaries
